Movie Name,Year of release,Watchtime,Movie Rating,Votes,Gross collection,Director,Cast
Der Untergang,2004,156,8.2,362272,5.51,Oliver Hirschbiegel,"['Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes', 'Juliane Köhler']"
Monty Python and the Holy Grail,1975,91,8.2,551701,1.23,"Directors:Terry Gilliam, Terry Jones","['Graham Chapman', 'John Cleese', 'Eric Idle', 'Terry Gilliam']"
Some Like It Hot,1959,121,8.2,273073,25.0,Billy Wilder,"['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon', 'George Raft']"
The Elephant Man,1980,124,8.2,247813,102.79658653846153,David Lynch,"['Anthony Hopkins', 'John Hurt', 'Anne Bancroft', 'John Gielgud']"
ديمن سلاير: موغين تراين - عرض خاص,2020,117,8.2,64273,47.7,Haruo Sotozaki,"['Natsuki Hanae', 'Akari Kitô', 'Yoshitsugu Matsuoka', 'Hiro Shimono']"
The Great Escape,1963,172,8.2,249420,12.1,John Sturges,"['Steve McQueen', 'James Garner', 'Richard Attenborough', 'Charles Bronson']"
El secreto de sus ojos,2009,129,8.2,214082,6.39,Juan José Campanella,"['Ricardo Darín', 'Soledad Villamil', 'Pablo Rago', 'Carla Quevedo']"
Tumbbad,2018,104,8.2,52954,102.79658653846153,"Directors:Rahi Anil Barve, Anand Gandhi, Adesh Prasad","['Sohum Shah', 'Jyoti Malshe', 'Anita Date-Kelkar', 'Ronjini Chakraborty']"
Per qualche dollaro in più,1965,132,8.2,262710,15.0,Sergio Leone,"['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè', 'Mara Krupp']"
Ran,1985,162,8.2,129096,4.14,Akira Kurosawa,"['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu', 'Daisuke Ryû']"
Drishyam 2,2022,140,8.2,36876,102.79658653846153,Abhishek Pathak,"['Ajay Devgn', 'Akshaye Khanna', 'Tabu', 'Shriya Saran']"
All About Eve,1950,138,8.2,134032,0.01,Joseph L. Mankiewicz,"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm']"
Gangs of Wasseypur,2012,321,8.2,99312,102.79658653846153,Anurag Kashyap,"['Manoj Bajpayee', 'Nawazuddin Siddiqui', 'Tigmanshu Dhulia', 'Richa Chadha']"
The Treasure of the Sierra Madre,1948,126,8.2,127885,5.01,John Huston,"['Humphrey Bogart', 'Walter Huston', 'Tim Holt', 'Bruce Bennett']"
Vikram Vedha,2017,147,8.2,47608,102.79658653846153,"Directors:Gayatri, Pushkar, Gowtham Selvaraj","['Madhavan', 'Vijay Sethupathi', 'Shraddha Srinath', 'Kathir']"
Andhadhun,2018,139,8.2,97129,1.37,Sriram Raghavan,"['Tabu', 'Ayushmann Khurrana', 'Radhika Apte', 'Anil Dhawan']"
Dial M for Murder,1954,105,8.2,180524,0.01,Alfred Hitchcock,"['Ray Milland', 'Grace Kelly', 'Robert Cummings', 'John Williams']"
Baahubali 2: The Conclusion,2017,167,8.2,106651,20.19,S.S. Rajamouli,"['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Tamannaah Bhatia']"
Klaus,2019,96,8.2,166060,102.79658653846153,"Directors:Sergio Pablos, Carlos Martínez López","['Jason Schwartzman', 'J.K. Simmons', 'Rashida Jones', 'Will Sasso']"
Rashômon,1950,88,8.2,172678,0.1,Akira Kurosawa,"['Toshirô Mifune', 'Machiko Kyô', 'Masayuki Mori', 'Takashi Shimura']"
Yôjinbô,1961,110,8.2,125831,102.79658653846153,Akira Kurosawa,"['Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai', 'Yôko Tsukasa']"
Miracle in Cell No. 7,2019,132,8.2,51615,102.79658653846153,Mehmet Ada Öztekin,"['Aras Bulut Iynemli', 'Nisa Sofiya Aksongur', 'Deniz Baysal', 'Celile Toyon Uysal']"
Drishyam,2015,163,8.2,88469,0.74,Nishikant Kamat,"['Ajay Devgn', 'Shriya Saran', 'Tabu', 'Rajat Kapoor']"
Z,1969,127,8.2,29966,0.08,Costa-Gavras,"['Yves Montand', 'Irene Papas', 'Jean-Louis Trintignant', 'François Périer']"
Zindagi Na Milegi Dobara,2011,155,8.2,81357,3.11,Zoya Akhtar,"['Hrithik Roshan', 'Farhan Akhtar', 'Abhay Deol', 'Katrina Kaif']"
Tôkyô monogatari,1953,136,8.2,64076,102.79658653846153,Yasujirô Ozu,"['Chishû Ryû', 'Chieko Higashiyama', 'Sô Yamamura', 'Setsuko Hara']"
Uri: The Surgical Strike,2019,138,8.2,67280,4.19,Aditya Dhar,"['Vicky Kaushal', 'Paresh Rawal', 'Mohit Raina', 'Yami Gautam']"
To Be or Not to Be,1942,99,8.2,39630,102.79658653846153,Ernst Lubitsch,"['Carole Lombard', 'Jack Benny', 'Robert Stack', 'Felix Bressart']"
Bacheha-Ye aseman,1997,89,8.2,76674,0.93,Majid Majidi,"['Mohammad Amir Naji', 'Amir Farrokh Hashemian', 'Bahare Seddiqi', 'Nafise Jafar-Mohammadi']"
Pather Panchali,1955,125,8.2,35001,0.54,Satyajit Ray,"['Kanu Bannerjee', 'Karuna Bannerjee', 'Subir Banerjee', 'Chunibala Devi']"
Le salaire de la peur,1953,131,8.2,63146,102.79658653846153,Henri-Georges Clouzot,"['Yves Montand', 'Charles Vanel', 'Peter van Eyck', 'Folco Lulli']"
La passion de Jeanne d'Arc,1928,110,8.2,57273,0.02,Carl Theodor Dreyer,"['Maria Falconetti', 'Eugene Silvain', 'André Berley', 'Maurice Schutz']"
"Swades: We, the People",2004,210,8.2,93596,1.22,Ashutosh Gowariker,"['Shah Rukh Khan', 'Gayatri Joshi', 'Kishori Ballal', 'Smith Seth']"
K.G.F: Chapter 1,2018,156,8.2,91542,102.79658653846153,Prashanth Neel,"['Yash', 'Srinidhi Shetty', 'Ramachandra Raju', 'Archana Jois']"
Sherlock Jr.,1924,45,8.2,52415,0.98,Buster Keaton,"['Buster Keaton', 'Kathryn McGuire', 'Joe Keaton', 'Erwin Connelly']"
Rangasthalam,2018,170,8.2,26140,3.51,Sukumar,"['Ram Charan', 'Samantha Ruth Prabhu', 'Aadhi', 'Jagapathi Babu']"
Dersu Uzala,1975,142,8.2,31859,102.79658653846153,Akira Kurosawa,"['Maksim Munzuk', 'Yuriy Solomin', 'Mikhail Bychkov', 'Vladimir Khrulyov']"
Babam ve Oglum,2005,112,8.2,88173,102.79658653846153,Çagan Irmak,"['Çetin Tekindor', 'Fikret Kuskan', 'Hümeyra', 'Ege Tanman']"
Umberto D.,1952,89,8.2,26803,0.07,Vittorio De Sica,"['Carlo Battisti', 'Maria Pia Casilio', 'Lina Gennari', 'Ileana Simova']"
Bhaag Milkha Bhaag,2013,186,8.2,69790,1.63,Rakeysh Omprakash Mehra,"['Farhan Akhtar', 'Japtej Singh', 'Divya Dutta', 'Pawan Malhotra']"
Paan Singh Tomar,2012,135,8.2,37039,0.04,Tigmanshu Dhulia,"['Irrfan Khan', 'Mahie Gill', 'Rajesh Abhay', 'Hemendra Dandotiya']"
Mad Max: Fury Road,2015,120,8.1,1029691,154.06,George Miller,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Zoë Kravitz']"
Ford v Ferrari,2019,152,8.1,418324,117.62,James Mangold,"['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitríona Balfe']"
Prisoners,2013,153,8.1,745415,61.0,Denis Villeneuve,"['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis', 'Melissa Leo']"
The Grand Budapest Hotel,2014,99,8.1,838237,59.1,Wes Anderson,"['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric', 'Adrien Brody']"
Jaws,1975,124,8.1,623682,260.0,Steven Spielberg,"['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss', 'Lorraine Gary']"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.1,1153181,305.41,Gore Verbinski,"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley']"
Blade Runner,1982,117,8.1,787634,32.87,Ridley Scott,"['Harrison Ford', 'Rutger Hauer', 'Sean Young', 'Edward James Olmos']"
Gone Girl,2014,149,8.1,1008280,167.77,David Fincher,"['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris', 'Tyler Perry']"
The Help,2011,146,8.1,472286,169.71,Tate Taylor,"['Viola Davis', 'Emma Stone', 'Octavia Spencer', 'Bryce Dallas Howard']"
Stand by Me,1986,89,8.1,417268,52.29,Rob Reiner,"['Wil Wheaton', 'River Phoenix', 'Corey Feldman', ""Jerry O'Connell""]"
Hacksaw Ridge,2016,139,8.1,549345,67.21,Mel Gibson,"['Andrew Garfield', 'Sam Worthington', 'Luke Bracey', 'Teresa Palmer']"
